S17Nm,SectorBeta,Members,SectorBetaScore
鉄鋼・非鉄,1.1789487459416312,10,1.125061091229797
電機・精密,1.0660463608784985,37,0.8147479039333385
機械,1.042790884464366,15,0.7508300247483087
銀行,0.9680918786847286,9,0.5455191576803187
金融（除く銀行）,0.9120687336536502,10,0.39153905631005537
商社・卸売,0.8882117151213711,7,0.3259678333814831
自動車・輸送機,0.8226014298328949,14,0.14563739363114273
素材・化学,0.7777342693938516,19,0.022319612939479892
エネルギー資源,0.7758492809188148,3,0.017138705721455393
建設・資材,0.7115570877733073,16,-0.15956894631003976
不動産,0.6772524311060182,5,-0.253855593519349
情報通信・サービスその他,0.6046902661820868,25,-0.45329333491059925
電気・ガス,0.559258254186697,5,-0.5781636150175866
医薬品,0.5316563981929613,9,-0.6540275562790974
小売,0.4037280203345046,10,-1.0056398154596726
運輸・物流,0.37657848937929433,16,-1.0802605374187717
食品,0.2732242398548589,11,-1.3643305911437387
