Ticker,Beta,Code,CoName,S17Nm,S33Nm,BetaScore
6857.T,1.9845137103850645,6857,アドバンテスト,電機・精密,電気機器,3.3524393567632944
9984.T,1.908028262940395,9984,ソフトバンクグループ,情報通信・サービスその他,情報･通信業,3.146353338660175
5803.T,1.8128524698633,5803,フジクラ,鉄鋼・非鉄,非鉄金属,2.8899071666056244
6146.T,1.7656535851073325,6146,ディスコ,機械,機械,2.762732252380248
6506.T,1.7174355412745235,6506,安川電機,電機・精密,電気機器,2.632811267588809
5801.T,1.701663906751727,5801,古河電気工業,鉄鋼・非鉄,非鉄金属,2.59031542731629
5802.T,1.615371157251609,5802,住友電気工業,鉄鋼・非鉄,非鉄金属,2.357804149291614
6526.T,1.5475074015591088,6526,ソシオネクスト,電機・精密,電気機器,2.1749488264629444
6920.T,1.531474738857323,6920,レーザーテック,電機・精密,電気機器,2.1317496594816485
6501.T,1.5198798706878407,6501,日立製作所,電機・精密,電気機器,2.1005078966194013
6723.T,1.5039686411157163,6723,ルネサスエレクトロニクス,電機・精密,電気機器,2.057635924823513
3436.T,1.4773878693897755,3436,ＳＵＭＣＯ,建設・資材,金属製品,1.9860154324799217
6976.T,1.4691010098903463,6976,太陽誘電,電機・精密,電気機器,1.9636869251118656
7012.T,1.4404513209711816,7012,川崎重工業,自動車・輸送機,輸送用機器,1.8864918441323764
8035.T,1.390208118148044,8035,東京エレクトロン,電機・精密,電気機器,1.751114174882832
6762.T,1.3704570043155202,6762,ＴＤＫ,電機・精密,電気機器,1.6978958367696786
5706.T,1.3573157027382172,5706,三井金属,鉄鋼・非鉄,非鉄金属,1.6624872903698187
5631.T,1.3320224066687953,5631,日本製鋼所,機械,機械,1.5943358335136462
6954.T,1.325363522330483,6954,ファナック,電機・精密,電気機器,1.5763938196516658
7735.T,1.3177011876771314,7735,ＳＣＲＥＥＮホールディングス,電機・精密,電気機器,1.555748061656655
4004.T,1.3107607095684128,4004,レゾナック・ホールディングス,素材・化学,化学,1.5370473081807419
5713.T,1.2460316983680437,5713,住友金属鉱山,鉄鋼・非鉄,非鉄金属,1.3626383896255299
6361.T,1.2426820699152348,6361,荏原製作所,機械,機械,1.3536129918142181
6981.T,1.2378923192848401,6981,村田製作所,電機・精密,電気機器,1.3407072604874972
6504.T,1.1962785262856106,6504,富士電機,電機・精密,電気機器,1.2285810824510455
7011.T,1.1676168632597366,7011,三菱重工業,機械,機械,1.1513537378703809
8308.T,1.1627183354888424,8308,りそなホールディングス,銀行,銀行業,1.1381549122558556
8604.T,1.152530220440826,8604,野村ホールディングス,金融（除く銀行）,証券･商品先物取引業,1.1107035717411642
8411.T,1.1464051161539044,8411,みずほフィナンシャルグループ,銀行,銀行業,1.0941998001724458
6988.T,1.1097518594944276,6988,日東電工,素材・化学,化学,0.9954395265801695
4902.T,1.1093876554447428,4902,コニカミノルタ,電機・精密,電気機器,0.9944581979106751
6098.T,1.097474929774469,6098,リクルートホールディングス,情報通信・サービスその他,サービス業,0.9623599847189754
6503.T,1.079133638610133,6503,三菱電機,電機・精密,電気機器,0.9129403396856849
6758.T,1.0508971717574103,6758,ソニーグループ,電機・精密,電気機器,0.8368586638454805
6752.T,1.0377383696256073,6752,パナソニック　ホールディングス,電機・精密,電気機器,0.8014029631213407
7013.T,1.037651009923026,7013,ＩＨＩ,機械,機械,0.8011675769943175
