Ticker,Name,Window,Passed,Signal_Level,Signal_Rank,Pass_Reason,Reject_Reason,Failed_Conditions,Conditions_Passed,Weekly_MA2_Warning,SMA25_Above_SMA75,SMA75_Up,Drop_OK,Return_OK,Green_Band_OK,Pull_Before_Latest,Rebound_Confirmed,Yellow_Band_OK,Weekly_MA2_OK,Peak_Date,Peak_High,Pullback_Date,Pullback_Low,Latest_Date,Latest_Close,Prev_Close,Return_%,Drop_From_Peak_%,Delta_from_Pull_%,SMA25,SMA75,SMA75_10d_Ago,"Within_(pull, +2%]","Within_(pull, +5%]",Data_Rows
3405.T,クラレ,60,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,False,False,2026-08-07,2088.0,2026-08-25,1777.5,2026-08-27,1828.0,1781.0,14.22,12.45,2.84,1851.12,1738.18,1714.05,False,True,
4755.T,楽天G,60,True,GREEN,2,🟢反発確認,,,7,False,True,True,True,True,True,True,True,False,True,2026-08-07,886.5,2026-08-13,744.2,2026-08-27,778.3,772.7,13.9,12.21,4.58,803.82,774.33,773.32,False,True,
4385.T,,60,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,False,False,2026-08-10,5111.0,2026-08-25,4440.0,2026-08-27,4593.0,4568.0,11.28,10.14,3.45,4577.2,4287.73,4190.83,False,True,
6645.T,オムロン,60,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,False,False,2026-08-18,7245.0,2026-08-21,6236.0,2026-08-27,6527.0,6455.0,11.0,9.91,4.67,6175.84,5892.13,5768.61,False,True,
2871.T,ニチレイ,60,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,False,False,2026-07-29,2369.0,2026-08-10,2050.0,2026-08-27,2147.0,2129.5,10.34,9.37,4.73,2186.16,2073.95,2035.56,False,True,
6473.T,ジェイテクト,60,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,True,False,2026-07-31,2264.5,2026-08-25,2031.5,2026-08-27,2060.5,2058.0,9.9,9.01,1.43,2105.76,2069.22,2036.54,True,True,
3402.T,東レ,60,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,True,False,2026-08-10,1395.0,2026-08-26,1261.0,2026-08-27,1276.5,1262.5,9.28,8.49,1.23,1254.38,1179.79,1156.35,True,True,
6701.T,NEC,60,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,False,False,2026-08-14,5169.0,2026-08-19,4551.0,2026-08-27,4735.0,4671.0,9.17,8.4,4.04,4700.64,4314.09,4246.95,False,True,
6971.T,京セラ,30,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,False,False,2026-08-14,3981.0,2026-08-21,3490.0,2026-08-27,3649.0,3625.0,9.1,8.34,4.56,3712.28,3576.57,3453.06,False,True,
3092.T,ZOZO,60,True,GREEN,2,🟢反発確認,,,7,False,True,True,True,True,True,True,True,False,True,2026-07-29,1242.0,2026-08-18,1090.0,2026-08-27,1143.0,1142.0,8.66,7.97,4.86,1144.42,1111.21,1098.82,False,True,
