Ticker,Name,Window,Passed,Signal_Level,Signal_Rank,Pass_Reason,Reject_Reason,Failed_Conditions,Conditions_Passed,Weekly_MA2_Warning,SMA25_Above_SMA75,SMA75_Up,Drop_OK,Return_OK,Green_Band_OK,Pull_Before_Latest,Rebound_Confirmed,Yellow_Band_OK,Weekly_MA2_OK,Peak_Date,Peak_High,Pullback_Date,Pullback_Low,Latest_Date,Latest_Close,Prev_Close,Return_%,Drop_From_Peak_%,Delta_from_Pull_%,SMA25,SMA75,SMA75_10d_Ago,"Within_(pull, +2%]","Within_(pull, +5%]",Data_Rows
4151.T,,60,True,YELLOW,1,🟡押し目接近,,,6,True,True,True,True,True,True,True,False,True,False,2026-07-07,2751.0,2026-07-14,2600.0,2026-07-22,2627.0,2657.0,4.72,4.51,1.04,2606.68,2486.69,2464.01,True,True,
4151.T,,30,True,YELLOW,1,🟡押し目接近,,,6,True,True,True,True,True,True,True,False,True,False,2026-07-07,2751.0,2026-07-14,2600.0,2026-07-22,2627.0,2657.0,4.72,4.51,1.04,2606.68,2486.69,2464.01,True,True,
4502.T,武田薬品,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | Return<3% | 押し目日が最新日 | 前日終値超えなし,2,False,False,False,True,False,True,False,False,True,True,2026-07-21,5621.0,2026-07-22,5471.0,2026-07-22,5552.0,5555.0,1.24,1.23,1.48,5251.68,5277.28,5324.2,True,True,
4502.T,武田薬品,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | Return<3% | 押し目日が最新日 | 前日終値超えなし,2,False,False,False,True,False,True,False,False,True,True,2026-07-21,5621.0,2026-07-22,5471.0,2026-07-22,5552.0,5555.0,1.24,1.23,1.48,5251.68,5277.28,5324.2,True,True,
4503.T,アステラス,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 押し目安値+5%外,3,False,False,False,True,True,False,True,False,False,True,2026-04-24,2502.0,2026-06-11,2041.0,2026-07-22,2175.5,2196.5,15.01,13.05,6.59,2154.4,2282.83,2330.65,False,False,
4503.T,アステラス,30,False,,0,,ピーク後データなし,,0,False,False,False,False,False,False,False,False,False,True,2026-07-22,2218.0,,,,,,,,,,,,,,
4506.T,大日本住友,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | Drop>15% | 反発未確認かつ押し目安値+2%外 | 前日終値超えなし,3,True,False,False,False,True,True,True,False,False,False,2026-04-23,2135.0,2026-07-17,1232.5,2026-07-22,1286.0,1304.0,66.02,39.77,4.34,1433.2,1636.96,1724.27,False,True,
4506.T,大日本住友,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | Drop>15% | 反発未確認かつ押し目安値+2%外 | 前日終値超えなし,3,True,False,False,False,True,True,True,False,False,False,2026-07-06,1581.5,2026-07-17,1232.5,2026-07-22,1286.0,1304.0,22.98,18.68,4.34,1433.2,1636.96,1724.27,False,True,
4507.T,塩野義,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | 押し目安値+5%外,3,False,False,False,True,True,False,True,False,False,True,2026-05-12,3235.0,2026-06-02,2665.0,2026-07-22,2876.0,2900.0,12.48,11.1,7.92,2828.94,3011.37,3090.15,False,False,
4507.T,塩野義,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | SMA75下向き | Return<3% | 反発未確認かつ押し目安値+2%外 | 前日終値超えなし,3,False,False,False,True,False,True,True,False,False,True,2026-07-08,2959.0,2026-07-10,2802.5,2026-07-22,2876.0,2900.0,2.89,2.81,2.62,2828.94,3011.37,3090.15,False,True,
