Ticker,Name,Window,Passed,Signal_Level,Signal_Rank,Pass_Reason,Reject_Reason,Failed_Conditions,Conditions_Passed,Weekly_MA2_Warning,SMA25_Above_SMA75,SMA75_Up,Drop_OK,Return_OK,Green_Band_OK,Pull_Before_Latest,Rebound_Confirmed,Yellow_Band_OK,Weekly_MA2_OK,Peak_Date,Peak_High,Pullback_Date,Pullback_Low,Latest_Date,Latest_Close,Prev_Close,Return_%,Drop_From_Peak_%,Delta_from_Pull_%,SMA25,SMA75,SMA75_10d_Ago,"Within_(pull, +2%]","Within_(pull, +5%]",Data_Rows
7202.T,いすゞ,30,False,,0,,反発未確認かつ押し目安値+2%外,反発未確認かつ押し目安値+2%外 | 前日終値超えなし,6,True,True,True,True,True,True,True,False,False,False,2026-07-07,2459.5,2026-07-17,2283.0,2026-07-22,2329.0,2329.5,5.6,5.31,2.01,2275.5,2262.73,2259.31,False,True,
4543.T,テルモ,60,False,,0,,反発未確認かつ押し目安値+2%外,反発未確認かつ押し目安値+2%外 | 前日終値超えなし,6,False,True,True,True,True,True,True,False,False,True,2026-05-29,2463.0,2026-06-24,2146.5,2026-07-22,2199.0,2240.5,12.01,10.72,2.45,2228.72,2197.55,2181.25,False,True,
2802.T,味の素,60,False,,0,,Drop>15%,Drop>15%,6,True,True,True,False,True,True,True,True,False,False,2026-07-06,6340.0,2026-07-17,5114.0,2026-07-22,5253.0,5252.0,20.69,17.15,2.72,5710.32,5221.93,5079.95,False,True,
2802.T,味の素,30,False,,0,,Drop>15%,Drop>15%,6,True,True,True,False,True,True,True,True,False,False,2026-07-06,6340.0,2026-07-17,5114.0,2026-07-22,5253.0,5252.0,20.69,17.15,2.72,5710.32,5221.93,5079.95,False,True,
1721.T,,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75,6,True,False,True,True,True,True,True,True,False,False,2026-07-03,5625.0,2026-07-17,5083.0,2026-07-22,5229.0,5197.0,7.57,7.04,2.87,5371.2,5407.25,5387.65,False,True,
6988.T,日東電工,60,False,,0,,Return<3%,Return<3%,6,False,True,True,True,False,True,True,True,False,True,2026-07-15,3367.0,2026-07-17,3201.0,2026-07-22,3294.0,3284.0,2.22,2.17,2.91,3208.64,3144.2,3132.91,False,True,
6988.T,日東電工,30,False,,0,,Return<3%,Return<3%,6,False,True,True,True,False,True,True,True,False,True,2026-07-15,3367.0,2026-07-17,3201.0,2026-07-22,3294.0,3284.0,2.22,2.17,2.91,3208.64,3144.2,3132.91,False,True,
6594.T,日電産,60,False,,0,,Drop>15%,Drop>15%,6,True,True,True,False,True,True,True,True,False,False,2026-06-01,2922.0,2026-07-17,2406.0,2026-07-22,2480.0,2467.0,17.82,15.13,3.08,2653.64,2570.52,2510.15,False,True,
6594.T,日電産,30,False,,0,,Drop>15%,Drop>15%,6,True,True,True,False,True,True,True,True,False,False,2026-06-18,2919.0,2026-07-17,2406.0,2026-07-22,2480.0,2467.0,17.7,15.04,3.08,2653.64,2570.52,2510.15,False,True,
9301.T,三菱倉庫,60,False,,0,,Return<3%,Return<3%,6,False,True,True,True,False,True,True,True,False,True,2026-07-09,1632.0,2026-07-17,1552.5,2026-07-22,1606.0,1599.0,1.62,1.59,3.45,1547.42,1472.63,1442.25,False,True,
9301.T,三菱倉庫,30,False,,0,,Return<3%,Return<3%,6,False,True,True,True,False,True,True,True,False,True,2026-07-09,1632.0,2026-07-17,1552.5,2026-07-22,1606.0,1599.0,1.62,1.59,3.45,1547.42,1472.63,1442.25,False,True,
4307.T,,30,False,,0,,反発未確認かつ押し目安値+2%外,反発未確認かつ押し目安値+2%外 | 前日終値超えなし,6,False,True,True,True,True,True,True,False,False,True,2026-07-08,5236.0,2026-07-15,4787.0,2026-07-22,4981.0,5105.0,5.12,4.87,4.05,4765.0,4675.33,4578.79,False,True,
6501.T,日立,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75,6,False,False,True,True,True,True,True,True,False,True,2026-07-07,5004.0,2026-07-17,4616.0,2026-07-22,4807.0,4792.0,4.1,3.94,4.14,4711.2,4880.44,4876.96,False,True,
3099.T,三越伊勢丹,60,False,,0,,反発未確認かつ押し目安値+2%外,反発未確認かつ押し目安値+2%外 | 前日終値超えなし,6,False,True,True,True,True,True,True,False,False,True,2026-06-30,4192.0,2026-07-07,3691.0,2026-07-22,3847.0,3871.0,8.97,8.23,4.23,3935.64,3478.74,3342.65,False,True,
3099.T,三越伊勢丹,30,False,,0,,反発未確認かつ押し目安値+2%外,反発未確認かつ押し目安値+2%外 | 前日終値超えなし,6,False,True,True,True,True,True,True,False,False,True,2026-06-30,4192.0,2026-07-07,3691.0,2026-07-22,3847.0,3871.0,8.97,8.23,4.23,3935.64,3478.74,3342.65,False,True,
6301.T,コマツ,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75,6,False,False,True,True,True,True,True,True,False,True,2026-06-15,6845.0,2026-07-17,6178.0,2026-07-22,6447.0,6418.0,6.17,5.81,4.35,6453.6,6579.93,6565.59,False,True,
4188.T,三菱ケミHD,60,False,,0,,Return<3%,Return<3%,6,False,True,True,True,False,True,True,True,False,True,2026-07-15,1228.5,2026-07-17,1144.5,2026-07-22,1195.5,1193.0,2.76,2.69,4.46,1149.38,1052.54,1017.1,False,True,
4188.T,三菱ケミHD,30,False,,0,,Return<3%,Return<3%,6,False,True,True,True,False,True,True,True,False,True,2026-07-15,1228.5,2026-07-17,1144.5,2026-07-22,1195.5,1193.0,2.76,2.69,4.46,1149.38,1052.54,1017.1,False,True,
7267.T,ホンダ,60,False,,0,,Return<3%,Return<3%,6,False,True,True,True,False,True,True,True,False,True,2026-07-06,1604.0,2026-07-13,1490.0,2026-07-22,1559.0,1557.0,2.89,2.81,4.63,1489.42,1394.01,1364.24,False,True,
